name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
ICPC Internship Programme 2025,Final-year or penultimate-year graduation students,,Always Open,Monthly stipend of ₹5000 and a certificate of appreciation,"The ICPC Internship Programme 2025 is an opportunity provided by the Policy, Politics and Governance Foundation to final-year or penultimate-year graduation students. It introduces young, passionate individuals to explore the political and policy-making ecosystem. The selected students will receive a monthly stipend of ₹5000 and a certificate of appreciation.Source:ppgf.in",opportunities@ppgf.in,Null,https://www.ppgf.in/icpc-internship,mixed,{'Apply online link': 'https://www.ppgf.in/icpc-internship'},"Policy, Politics and Governance Foundation
FM Cariappa Colony,
Sivanchetti Gardens,
Bengaluru, Karnataka 560001
Email ID:
opportunities@ppgf.in"
Sitaram Jindal Foundation Scholarship Scheme 2025,Students studying from Class 11 to postgraduation,India,Always Open,Award covering tuition fees and other benefits,The Sitaram Jindal Foundation Scholarship Scheme 2025 is an opportunity provided by the Sitaram Jindal Foundation (NGO) for students from Class 11 to the postgraduate level. It aims to provide financial assistance to underprivileged students pursuing various degree and diploma courses. The selected students will receive an award that covers their tuition fees and other benefits.Source:sitaramjindalfoundation.org,scholarship@sitaramjindalfoundation.org,80-2371-7777,https://www.sitaramjindalfoundation.org/scholarships-for-students-in-bangalore.php,tuition_waiver,{'Apply online link': 'https://www.sitaramjindalfoundation.org/scholarships-for-students-in-bangalore.php'},"The Trustee
Sitaram Jindal Foundation
Jindal Nagar, Tumkur Road, Bangalore – 560 073
Email ID:
scholarship@sitaramjindalfoundation.org |
Phone number:
(+91)-80-2371-7777/78/79/80"
Boehringer Ingelheim Fonds (BIF) MD Fellowships,Students pursuing medicine in Germany,Germany,Always Open,A monthly stipend and other benefits,The Boehringer Ingelheim Fonds (BIF) MD Fellowships is an opportunity provided by the Boehringer Ingelheim Fonds to students pursuing medicine in Germany. It aims to support students who want to pursue a research project in basic biomedical research in an internationally leading laboratory away from their home institution and city. The selected students will receive a monthly stipend and other benefits.Source:bifonds.de/index.html,secretariat@bifonds.de,"46-48
55116",https://www.bifonds.de/fellowships-grants/md-fellowships/what-we-offer-md.html,monetary,{'Apply online link': 'https://www.bifonds.de/fellowships-grants/md-fellowships/what-we-offer-md.html'},"Boehringer Ingelheim Fonds
Foundation for Basic Research in Medicine
Schusterstr. 46-48
55116 Mainz
Germany
Email ID:
secretariat@bifonds.de |
Phone Number.
+49 (0)6131 2750 80"
BookAChange Music Scholarship 2025,Indian musicians,India,Always Open,Up to 100% reimbursement on tuition fees,BookAChange Music Scholarship 2025 is an opportunity provided by the BookMyShow Foundation for talented Indian musicians. This scheme offers support to talented individuals to pursue their passion and excel in the world of music. Selected candidates will receive 90% of their tuition fees.Source:BookAChange,bmsfoundation@bookmyshow.com,022-26719826,https://www.bookachange.org/,mixed,"{'Original website': 'https://www.bookachange.org/', 'Apply online link': 'https://www.bookachange.org/what-we-do/'}","BookMyShow Foundation
Wajeda House, Ground Floor
Gulmohar Cross Road No 7
Juhu Scheme, Mumbai 400049
Email ID:
bmsfoundation@bookmyshow.com
| Phone Number:
(022-26719826)"
Education Future International Scholarship 2025,Undergraduate and Postgraduate applicants,India,Always Open,Scholarship ranging between ₹2-10 lakh,"Education Future International Scholarship 2025 is an opportunity offered by the Education Future organisation. It is offered to meritorious Indian students who are studying overseas at any of the top universities globally. The selected candidates will receive a scholarship ranging between ₹2-10 lakhs each.*The Education Future is a unique scholarship fund established by scholarship winners from around the world. These like-minded individuals have come together to support the next generation of students by contributing whatever they can. This initiative embodies the spirit of giving back to society, with a focus on promoting education and fostering a brighter, smarter future.Source:Education Future International Scholarship",info@education-future.org,Null,https://www.education-future.org/,monetary,"{'Others': 'https://www.education-future.org/faq', 'Apply online link': 'https://www.education-future.org/'}","Education Future
Email ID:
-
info@education-future.org"
UQ International High Achievers Award - India 2025,Students pursuing undergraduate and postgraduate coursework,Australia,Always Open,20% reduction in tuition fees per semester,"UQ International High Achievers Award - India 2025 is an opportunity offered by the University of Queensland, Australia, for students enrolled in undergraduate and postgraduate courses. The scholarship aims to assist with tuition fees for international students from selected countries pursuing a relevant degree program at the university. The selected students will receive a tuition fee reduction of 20% per annum for the enrolled coursework program.Source:University of Queensland, Australia",iasscholarships@uq.edu.au,1800 800 123,https://study.uq.edu.au/,tuition_waiver,"{'Latest scholarship link': 'https://scholarships.uq.edu.au/scholarship/uq-international-high-achievers-award-india', 'Apply online link': 'https://study.uq.edu.au/'}","The University of Queensland
Brisbane QLD 4072 Australia
Email ID:
iasscholarships@uq.edu.au
|
Phone Number:
1800 800 123"
IDRBT Research Associateship 2025,Graduate students,India,Always Open,"A monthly CTC of ₹31,500 and other benefits","IDRBT Research Associateship 2025 is an opportunity offered by the Institute for Development and Research in Banking Technology (IDRBT). The associateship offers young and dynamic graduate students the opportunity to contribute to research projects in various areas of banking technology. The selected candidates will receive a monthly CTC of ₹31,500 and other benefits.Source:Institute for Development and Research in Banking Technology",publisher@idrbt.ac.in,Null,https://www.idrbt.ac.in/,monetary,"{'Original website': 'https://www.idrbt.ac.in/', 'Apply online link': 'https://www.idrbt.ac.in/careers/', 'Latest scholarship link': 'https://www.idrbt.ac.in/wp-content/uploads/2024/12/RA_RollingAdvt_2024.pdf'}","Institute for Development and Research in Banking Technology
Castle Hills, Road No. 1, Masab Tank, Hyderabad
Telangana - 500057, India
Email ID:
publisher@idrbt.ac.in
| Phone Number:
(040) 2329 4999"
SBI Youth for India Fellowship 2025-26,Bachelor’s degree holders,India,Always Open,"A monthly stipend of ₹16,000 and other benefits","SBI Youth for India Fellowship 2025-26 is an opportunity offered by the State Bank of India (SBI) Foundationin partnership with various reputed NGOs for bachelor’s degree holders between the age group of21 to 32 years. The fellowship empowers graduates to tackle pressing rural development challenges by living and working alongside communities, promoting a transformative leadership journey. The selected fellows will receive a monthly stipend of ₹16,000, a readjustment allowance of ₹90,000and other benefits.Source:SBI Youth For India",applications@youthforindia.org,Null,https://youthforindia.org/,monetary,"{'Apply online link': 'https://youthforindia.org/', 'Original website': 'https://youthforindia.org/', 'Others': 'https://www.youthforindia.org/faq'}","State Bank of India (SBI) Foundation
Email ID:
applications@youthforindia.org"
Narayana Admission cum Scholarship Test (N-ACST),"Classes 8 to 12 students passionate about IIT-JEE, NEET and Olympiads",India,Always Open,Up to 90% scholarship towards tuition fee Narayana's programs,"Narayana Admission cum Scholarship Test (N-ACST), is an initiative by the Narayana Group of Institutions for students studying in Classes 8 to 12 who are passionate about IIT-JEE, NEET and Olympiads. The aim of this scheme is to find and nurture the exceptionally talented students and help them to complete their dreams. The selected students will receive a up to 90% scholarship towards tuition fees of Narayana’s programs.Source:Narayana Coaching Center",info@narayanagroup.com,9667225657,https://www.narayanacoachingcenters.in/,mixed,"{'Latest scholarship link': 'https://www.narayanacoachingcenters.in/NACST/', 'Original website': 'https://www.narayanacoachingcenters.in/', 'Apply online link': 'https://www.narayanacoachingcenters.in/NACST/#pills-tabContent'}","Narayana Group of Institutions
10th Floor, Melange Towers, St No.80 to 84,
Patrika Nagar, Madhapur,
Hyderabad, Telangana - 500081
Email ID: info@narayanagroup.com | Phone Number: 9667225657, 1800 102 3344"
AICTE Post-doctoral Fellowship (PDF) Scheme 2024-25,Students pursuing post-doctoral studies in AICTE-approved institutions,,Always Open,"A monthly fellowship of ₹65,000 and other benefits","AICTE Post-doctoral Fellowship (PDF) Scheme 2024-25 is a program launched by the All India Council for Technical Education (AICTE) to provide financial assistance to meritorious students to pursue research and studies in specified fields of study in AICTE-approved institutions. Every year, AICTE offers 200 fellowships to deserving students. The selected candidates will receive a monthly fellowship of ₹65,000 and other benefits.Source:All India Council of Technical Education (AICTE)",Null,Null,https://www.aicte-india.org/,monetary,"{'Latest scholarship link': 'https://aicte-india.org/schemes/students-development-schemes', 'Apply online link': 'https://www.aicte-india.org/'}","All India Council for Technical Education
Nelson Mandela Marg
Vasant Kunj
New Delhi-110070
Phone Number: (011) 26131576/78/80"
