name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
"Vidyadhan Plus 2 (1st year) Scholarship Program, Bihar 2025",Class 10 passed school students,India,20-Jul-2025,"₹10,000 per annum","Vidyadhan Plus 2 (1st year) Scholarship Program, Bihar 2025 is an initiative by the Sarojini Damodaran Foundation for Class 10 passed students, who will be entering Class 11 at a recognised institution in Bihar. Established in 1999 by SD Shibulal, (Co-founder and former CEO, Infosys) and Kumari Shibulal, Sarojini Damodaran Foundation helps transform the lives of the underprivileged in society by contributing to their higher education. The selected students will receive ₹10,000 per annum.Source:Vidyadhan",vidyadhan.bihar@sdfoundationindia.com,9663517131,https://www.vidyadhan.org/,monetary,"{'Apply online link': 'https://www.vidyadhan.org/apply#', 'Media Link': 'https://www.buddy4study.com/scholarship/vidyadhan-plus-two-first-year-scholarship-program-bihar', 'Original website': 'https://www.vidyadhan.org/', 'Latest scholarship link': 'https://www.vidyadhan.org/apply/hindi/414'}","Sarojini Damodaran Foundation
678, 11th Main Rd, 4th T Block East
4th Block, Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.bihar@sdfoundationindia.com
| Phone Number:
9663517131"
"Vidyadhan Plus 2 (1st year) Scholarship Program, Odisha 2025",Class 11 and 12 school students of Odisha,India,20-Jul-2025,"A maximum of ₹10,000 per annum","Vidyadhan Plus 2 (1st year) Scholarship Program, Odisha 2025 is an initiative by the Sarojini Damodaran Foundation* for Class 10 passed school students of Odisha. The selected students will receive a maximum of ₹10,000 per annum.*Sarojini Damodaran Foundation was established in 1999 by SD Shibulal (Co-founder and former CEO, Infosys) and Kumari Shibulal, (Sarojini Damodaran Foundation). The financial support by this organisation helps in transforming the lives of underprivileged students in society by contributing to their higher education.Source:Vidyadhan",vidyadhan.odisha@sdfoundationindia.com,8068333500,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd, 4th T Block East, 4th Block,
Jayanagar, Bengaluru, Karnataka - 560041
Email ID:
vidyadhan.odisha@sdfoundationindia.com
| Phone Number:
(+91) 8068333500"
"Vidyadhan Class 11 and 12 Scholarship Program, Himachal 2025",Class 11 and 12 students,India,20-Jul-2025,"An annual scholarship of ₹10,000","Vidyadhan Class 11 and 12 Scholarship Program, Himachal 2025 is an initiative by the Sarojini Damodaran Foundation for Class 11 and 12 students of the state. The selected students will receive ₹10,000 per annum.Source:vidyadhan.org",vidyadhan.himachal@sdfoundationindia.com,8068333500,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.himachal@sdfoundationindia.com
| Phone Number:
8068333500."
"Vidyadhan Scholarship Program, Ladakh 2025",Students studying at Class 11 and 12,India,20-Jul-2025,"₹10,000 per annum","Vidyadhan Scholarship Program, Ladakh 2025 is an opportunity offered by the *Sarojini Damodaran Foundation to Class 11 and 12 students of the union territory.*Established in 1999 by SD Shibulal (Co-founder and former CEO, Infosys) and Kumari Shibulal (Sarojini Damodaran Foundation), this financial support helps to transform the lives of the underprivileged students in society by contributing to their higher education. The selected candidates will receive ₹10,000 per annum.Source:Vidyadhan",vidyadhan.ladakh@sdfoundationindia.com,9663517131,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.ladakh@sdfoundationindia.com
| Phone Number:
9663517131"
"Vidyadhan Class 11 and 12 Scholarship Program, Haryana & Chandigarh 2025",Class 11 and 12 students,India,20-Jul-2025,"₹10,000 per annum","Vidyadhan Class 11 and 12 Scholarship Program, Haryana & Chandigarh 2025 is an opportunity offered by the Sarojini Damodaran Foundation to Class 11 and 12 students of Haryana and Chandigarh. The selected candidates will receive ₹10,000 per annum.Source:Vidyadhan",vidyadhan.haryana@sdfoundationindia.com,8068333500,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.haryana@sdfoundationindia.com
| Phone Number:
8068333500"
The Glasgow MBA Scholarship 2025,Students applying for MBA degree at the university,India,21-Jul-2025,"A one-time scholarship of up to EUR 18,750 (approx. ₹17,03,381) towards tuition fee","The Glasgow MBA Scholarship 2025 is an opportunity offered by the University of Glasgowto students applying for MBA courses at the university. The scholarship aims to extend financial assistance towards students to help them pursue their academics and support diversity, equality and inclusion. Selected candidates will receive a one-time scholarship award of up to EUR 18,750 (approx. ₹17,03,381) towards the tuition fees.Source:University of Glasgow",business-mba-recruitment@glasgow.ac.uk,14133 02000,https://www.gla.ac.uk/,mixed,"{'Original website': 'https://www.gla.ac.uk/', 'Latest scholarship link': 'https://www.gla.ac.uk/scholarships/theglasgowmbascholarship/#', 'Apply online link': 'https://www.gla.ac.uk/scholarships/theglasgowmbascholarship/#'}","University Of Glasgow
University Ave, Glasgow,
Scotland G12 8QQ
Email Id:
business-mba-recruitment@glasgow.ac.uk
| Phone Number:
(+44 0) 14133 02000"
"Godabarisha Vidyarthi Protsahana Yojana for ST/SC/OBC/SEBC/GENERAL/EBC Communities, Odisha 2025-26",Class 12 students,India,22-Jul-2025,"₹30,000 for purchase of laptop","Godabarisha Vidyarthi Protsahana Yojana for ST/SC/OBC/SEBC/GENERAL/EBC Communities, Odisha 2025-26 is an opportunity offered by the Higher Education Department, Government of Odisha, to General/ST/SC/OBC/SEBC/EBC students of the state. Selected deserving students will receive financial assistance of ₹30,000 to purchase a laptop.Source:scholarship.odisha.gov.in",scholarshipedgov@gmail.com,Null,https://scholarship.odisha.gov.in/website/scholarship-details,monetary,{'Apply online link': 'https://scholarship.odisha.gov.in/website/scholarship-details'},"Higher Education Department
Government of Odisha, Bhubaneswar
Email ID:
scholarshipedgov@gmail.com
| Phone Number:
0674(2954600)"
The Rhodes Scholarships for India 2026,Postgraduate degree applicants from India at the Oxford University,India,23-Jul-2025,"Course fees, living stipend of  £19,800 per annum, and other costs","The Rhodes Scholarships for India 2026 is an initiative of the Rhodes Trust in partnership with the second-century founder of McCall MacBain Foundation (NGO), John Mccall Macbain O.C. for Indian postgraduate applicants to the University of Oxford, in the United Kingdom.The scholarship is for young leaders of outstanding intellect and character who are motivated to engage with global challenges, committed to the service of others and show promise of becoming value-driven, principled leaders for the world’s future. The selected candidates will receive a fully-funded scholarship for full-time postgraduate study at the University of Oxford along with additional benefits.Source:Rhodes Trust",scholarships.queries@rhodeshouse.ox.ac.uk,1865 270901,https://www.rhodeshouse.ox.ac.uk,mixed,"{'Original website': 'https://www.rhodeshouse.ox.ac.uk', 'Latest scholarship link': 'https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/', 'Media Link': 'https://www.buddy4study.com/scholarship/the-rhodes-scholarships-for-india-2026', 'Apply online link': 'https://www.rhodeshouse.ox.ac.uk/scholarships/applications/india/#apply-now'}","Rhodes Trust
South Parks Road
Oxford OX1 3RG, United Kingdom
Email Id:
scholarships.queries@rhodeshouse.ox.ac.uk
| Phone Number:
(+44 0)1865 270901"
Indus Towers Scholarship Program 2024-25,Disabled students willing to pursue higher studies,India,24-Jul-2025,"A scholarship of maximum of ₹70,000","Indus Towers Scholarship Program 2024 is an opportunity offered through the CSR initiative of Indus Towers Ltd (formerly Bharti Infratel Ltd.). Implemented by the Shishu Sarothi Centre for Rehabilitation and Training, the program supports the education of disabled students belonging to the North-Eastern region of India, including Assam, Arunachal Pradesh, Meghalaya, Manipur, Nagaland, Mizoram, Sikkim, and Tripura. Selected candidates will receive a scholarship of a maximum of ₹70,000.Source:Indus Tower Scholarship Program",info@ssscholarship.org,7086268549,https://ssscholarship.org/,monetary,"{'Original website': 'https://ssscholarship.org/', 'Apply online link': 'https://ssscholarship.org/eligibility'}","Shishu Sarothi
Centre for Rehabilitation & Training for Multiple Disability
Off Ramkrishna Mission Road, Birubari
Guwahati - 7810 16, Assam
Email ID:
info@ssscholarship.org
| Phone Number:
(+91) 7086268549"
"Vidyadhan Higher Secondary Scholarship Program, West Bengal 2025",Class 11 and 12 school students of the state,India,25-Jul-2025,"A maximum of ₹10,000 per annum","Vidyadhan Higher Secondary Scholarship Program, West Bengal 2025 is an initiative by the Sarojini Damodaran Foundation for students of classes 11 and 12 of the state. The aim behind this program is to encourage economically weak students. The selected students will receive a maximum of ₹10,000 per annumSource:Vidyadhan",vidyadhan.bengal@sdfoundationindia.com,8068333500,https://www.vidyadhan.org/,monetary,"{'Media Link': 'https://www.buddy4study.com/scholarship/west-bengal-higher-secondary-scholarship-program', 'Latest scholarship link': 'https://www.vidyadhan.org/apply', 'Original website': 'https://www.vidyadhan.org/', 'Apply online link': 'https://www.vidyadhan.org/apply'}","Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.bengal@sdfoundationindia.com
| Phone Number:
(+91) 8068333500"
