name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
"Pre-Matric & Simon Sing Horo Scholarship Schemes, Assam 2024",Assamese students pursuing education at pre-matric and post-matric levels,India,Closed,Financial assistance,"Pre-Matric & Simon Sing Horo Scholarship Schemes, Assam 2024 is an initiative of the Directorate of Tea Tribes and Adivasi Welfare, Assam for Assamese students pursuing education at pre-matric and post-matric levels. The scheme aims to financially support these students in completing their education. The selected applicants will receive financial assistance.Source:Tea Tribes and Adivasi Welfare Department Assam",directoratetgtoffice00@gmail.com,Null,https://ttwd.assam.gov.in/,other,"{'Original website': 'https://ttwd.assam.gov.in/', 'Others': 'https://ttwd.assam.gov.in/sites/default/files/swf_utility_folder/departments/dwtt_lipl_in_oid_4/latest/advertisement_notice_scheme_26-06-2024.pdf', 'Apply online link': 'https://sirishassam.in/', 'Latest scholarship link': 'https://ttwd.assam.gov.in/latest/advertisement-inviting-online-applications-for-pre-matric-simon-sing-horo-special-post-matric'}","Tea Tribes and Adivasi Welfare
Government of Assam
Rupnagar, Guwahati-32, Assam
Email ID:
directoratetgtoffice00@gmail.com"
"PM Yasasvi Pre-Matric Scholarship for OBC Students (Class 9 and 10), Andaman and Nicobar 2024-25",Students of Andaman and Nicobar studying in Class 9 to 10,India,Closed,"A consolidated academic allowance of ₹4,000 per annum","PM Yasasvi Pre-Matric Scholarship for OBC Students (Classes 9 and 10), Andaman and Nicobar 2024-25 is an initiative of the Ministry of Social Justice and Empowerment, Government of India, for OBC students enrolled in Class 9 and 10 in government schools of the Union Territory. Selected candidates will receive a consolidated academic allowance of ₹4,000 per annum.Source:National Scholarship Portal (NSP)",Null,Null,https://scholarships.gov.in/,monetary,"{'Latest scholarship link': 'https://scholarships.gov.in/public/schemeGuidelines/Andaman/PRE_MATRIC_OBC_GUIDELINES_ANDMAN.pdf', 'Apply online link': 'https://scholarships.gov.in/'}","Ministry of Social Justice and Empowerment,
Government of India
2nd floor C-wing, Shastri Bhawan
New Delhi - 110001 (India)"
"BPL Scholarship Scheme for College Students, Chhattisgarh 2024-25",Students studying in Undergraduate and Postgraduate level,India,Closed,₹500 per month for 10 months for PG students | ₹300 per month for 10 months for UG students,"BPL Scholarship Scheme for College Students, Chhattisgarh 2024-25, is an initiative by the Chhattisgarh Department of Higher Education to support undergraduate and postgraduate students from government colleges within the state. The scheme aims to provide financial assistance to meritorious students from Below Poverty Line (BPL) families to help cover their daily living expenses during their higher education. Selected students will receive a scholarship of ₹500 per month for 10 months.Source:National Scholarship Portal",higher-education@cg.gov.in,Null,https://scholarships.gov.in/,monetary,"{'Latest scholarship link': 'https://scholarships.gov.in/public/schemeGuidelines/Chattisgarh/Guidelines_3042.pdf', 'Apply online link': 'https://scholarships.gov.in/'}","Department of Higher Education, Chhattisgarh
1st Floor, Mahanadi Bhawan,
Nava Raipur Atal Nagar,
Chhattisgarh - 492002
Email ID:
higher-education@cg.gov.in |
Phone Number:
(0771)-2510757"
"Dr. Ambedkar Post-Matric Scholarship for EBC Students, Andaman and Nicobar 2024-25",Economically Backward Class (EBC) students pursuing post-matriculation or post-secondary studies,India,Closed,A monthly maintenance allowance up to ₹750 and other benefits,"Dr. Ambedkar Post-Matric Scholarship for EBC Students, Andaman and Nicobar 2024-25, is a Government of India initiative under the Ministry of Social Justice and Empowerment. It aims to financially assist Economically Backward Class (EBC) students from the Union Territory pursuing higher studies beyond Class 10. Selected students receive a monthly maintenance allowance of up to ₹750 and other benefits.Source:National Scholarship Portal (NSP)",Null,Null,https://scholarships.gov.in/,monetary,"{'Latest scholarship link': 'https://scholarships.gov.in/public/schemeGuidelines/Andaman/3026_G.pdf', 'Apply online link': 'https://scholarships.gov.in/'}","Ministry of Social Justice & Empowerment, Government of India
Room no. 202, 2nd floor C-wing,
Shastri Bhawan, New Delhi, Delhi 110001"
"PM Yasasvi Post-Matric Scholarship Scheme for OBC, EBC and DNT Students, Chandigarh 2024-25",Students studying in Class 11 and above,India,Closed,A maintenance allowance up to ₹750 and other benefits,"PM Yasasvi Post-Matric Scholarship Scheme for OBC, EBC and DNT Students, Chandigarh 2024-25 is a centrally sponsored scheme for students belonging to the OBC/EBC/DNT community of the union territory and studying at the post-matriculation level of education. The scheme is being administered by the Chandigarh Social Welfare Department for the students to pursue their higher education at the post-secondary stage of education. The selected students will receive a maintenance allowance of ₹750 and other benefits.Source:National Scholarship Portal (NSP)",Null,Null,https://scholarships.gov.in/,monetary,"{'Apply online link': 'https://scholarships.gov.in/', 'Latest scholarship link': 'https://scholarships.gov.in/public/schemeGuidelines/chandigarh/Post%20Matric%20OBC%20Chandgiarh%20Guidelines.pdf'}","Department of Social Justice and Empowerment
Government of India
Room No. 637, A-Wing, Shastri Bhawan
New Delhi - 110001"
"Post-Matric Scholarship for SC Students, Chandigarh 2024-25",SC students of Class 11 to Postdoctoral level,India,Closed,"A maintenance allowance of ₹1,200 and other benefits","Post-Matric Scholarship for SC Students, Chandigarh 2024-25 is an initiative of the Ministry of Social Justice and Empowerment, Government of India to provide financial assistance to students studying in Class 11 and above. The key objective of this scholarship is to provide financial assistance to eligible students who want to pursue their studies at the post-matriculation level. The selected scholars will receive a maintenance allowance of ₹1,200 and other benefits.Source:National Scholarship Portal",Null,Null,https://scholarships.gov.in/,monetary,"{'Latest scholarship link': 'https://scholarships.gov.in/public/schemeGuidelines/chandigarh/Post%20Matric%20SC%20Chandigarh%20guidelines.pdf', 'Apply online link': 'https://scholarships.gov.in/'}","Ministry of Social Justice and Empowerment
Government of India
Room no. 202, 2nd floor C-wing,
Shastri Bhawan, New Delhi - 110001"
Jilla Merit Award 2024,SSLC passed students of Kerala,India,Closed,"A scholarship of ₹1,250 per annum","The Jilla Merit Award 2024 is an opportunity offered by the Department of Collegiate and Higher Education (DCE) of the Government of Kerala to recognise outstanding academic performance in the Secondary School Leaving Certificate (SSLC) examination. Students who are domiciled in Kerala and secured A+ grades in all subjects during the March SSLC examination are eligible for this award.  Selected candidates will receive an annual award of ₹1,250.Source:Board of Public Education, Government of Kerala",Null,9446096580,https://www.dcescholarship.kerala.gov.in/,monetary,"{'Latest scholarship link': 'https://dcescholarship.kerala.gov.in/he_ma/he_maindx.php', 'Original website': 'https://www.dcescholarship.kerala.gov.in/', 'Apply online link': 'https://dcescholarship.kerala.gov.in/he_ma/hestudregone.php'}","The Special Officer Scholarships,
Directorate of Collegiate Education,
6th Floor, Vikas Bhavan,
Thiruvananthapuram, 695033
Phone Number:
(0471) 2306580/(+91) 9446096580"
Under Graduate Student Research Scholarship (UGSRS) 2024,"Undergraduate students enrolled in MBBS, BDS, AYUSH, Nursing, Physiotherapy, B.Sc. (MLT), and other Paramedical courses",India,Closed,"A monthly scholarship of ₹5,000 for two months","Under Graduate Student Research Scholarship (UGSRS) 2024 is an opportunity provided by the Dr. YSR University of Health Sciences, Research and Development Department, for undergraduate students enrolled in MBBS, BDS, AYUSH, Nursing, Physiotherapy, B.Sc. (MLT), and other Paramedical courses. The scholarship aims to allow interested students to familiarise themselves with research technology. Selected students will receive a monthly scholarship of ₹5,000 for two months.Source:Dr. YSR University of Health Sciences",drysruhsreg@gmail.com,8662450567,https://drysr.uhsap.in/index.html,monetary,"{'Original website': 'https://drysr.uhsap.in/index.html', 'Apply online link': 'https://drysr.uhsap.in/notification/Library/UGSRS%20Guidelines%202024.pdf'}","Dr. YSR University
Near Siddhartha Medical College
Beside New Government General Hospital
Near Ramavarappadu, Vijayawada
Andhra Pradesh - 520008
Email ID:
drysruhsreg@gmail.com
| Phone Number:
(+91)-8662450567"
"Stipend for ST/SC LAW Graduates, Karnataka 2024-25",SC and ST law graduate students of Karnataka,India,Closed,"A monthly stipend of ₹5,000","Stipend for ST/SC Law Graduates, Karnataka 2024-25 is an opportunity offered by the Social Welfare Department of the Karnataka Government to provide financial assistance to recent law graduates from Scheduled Caste (SC) and Scheduled Tribe (ST) communities. It aims to empower these graduates to pursue careers in law by providing a monthly stipend for a period of four years. Selected candidates will receive a monthly stipend of ₹5,000.Source:Karnataka Social Welfare Department",helpswkar@gmail.com,9008400078,https://swdservices.karnataka.gov.in/swincentive/HAhome.aspx,monetary,"{'Apply online link': 'https://swdservices.karnataka.gov.in/swincentive/LAW/LAWHome.aspx', 'Original website': 'https://swdservices.karnataka.gov.in/swincentive/HAhome.aspx'}","Commissionerate of Social Welfare Department
5th Floor, MS Building, Dr. Ambedakar Veedhi
Bangalore - 560001
Email ID:
helpswkar@gmail.com
| Phone Number
: (080) 22634300/22340956, (+91) 9008400078/9480843005"
"Post-Matric Scholarship for Minorities (Other Than Intermediate), Uttar Pradesh 2024-25",Undergraduate students and above,India,Closed,Financial assistance,"Post-Matric Scholarship for Minorities (Other Than Intermediate), Uttar Pradesh 2024-25 is an initiative of the Department of Social Welfare, Government of Uttar Pradesh, for students studying at graduation level or above. The selected students will receive financial assistance for further studies.Source:Uttar Pradesh Government Portal",Null,Null,https://scholarship.up.gov.in/,other,"{'Apply online link': 'https://scholarship.up.gov.in/', 'Latest scholarship link': 'https://scholarship.up.gov.in/PDFS/Genral%20Postmatric%20time%20table%202024-25.pdf'}","Department of Social Welfare
Government of Uttar Pradesh
Prag Narayan Road, Butler Colony
Lucknow-226001
Phone Number:
(0522) 2209259"
